name	value
A	8.13
B	0.93
C	3.15
D	3.55
E	15.10
F	0.96
G	0.97
H	1.08
I	6.94
J	0.71
K	0.16
L	5.68
M	3.23
N	6.42
O	5.27
P	3.03
Q	0.89
R	6.43
S	7.91
T	7.11
U	6.05
V	1.83
W	0.04
X	0.42
Y	0.19
Z	0.21
Œ	0.01
À	0.54
Â	0.03
Ç	0.00
È	0.35
É	2.13
Ê	0.24
Ë	0.01
Î	0.03
Ï	0.00
Ô	0.07
Ù	0.02
Û	0.05
Ü	0.02
