year,month,average
2009,10,384.43
2009,12,387.42
2010,2,390.20
2010,4,392.46
2010,6,392.15
2010,8,388.35
2010,10,387.24
2010,12,389.79
2011,2,391.86
2011,4,393.25
2011,6,393.73
2011,8,390.13
2011,10,389.00
2011,12,391.86
2012,2,393.86
2012,4,396.18
2012,6,395.71
2012,8,392.39
2012,10,391.05
2012,12,394.34
2013,2,396.80
2013,4,398.41
2013,6,398.61
2013,8,395.20
2013,10,393.70
2013,12,396.84
2014,2,398.01
2014,4,401.38
2014,6,401.25
2014,8,397.03
2014,10,396.03
2014,12,398.91
2015,2,400.28
2015,4,403.28
2015,6,402.80
2015,8,398.93
2015,10,398.29
2015,12,401.85
2016,2,404.12
2016,4,407.45
2016,6,406.83
2016,8,402.27
2016,10,401.59
2016,12,404.45
2017,2,406.46
2017,4,409.04
2017,6,408.88
2017,8,405.13
2017,10,403.63
2017,12,406.81
2018,2,408.32
2018,4,410.24
2018,6,410.79
2018,8,406.99
2018,10,406.00
