autID,cirID
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
6,0
6,15
46,1
46,2
46,3
46,4
46,5
46,6
46,12
46,279
46,280
46,281
46,282
46,283
46,284
46,285
46,286
46,287
46,288
89,320
89,1
89,321
89,322
89,7
89,10
89,11
89,12
89,13
89,14
89,16
89,279
89,280
89,281
89,282
89,285
89,287
89,317
89,318
89,319
148,320
148,321
148,2
148,322
148,323
148,8
148,14
148,15
148,16
148,17
148,18
148,282
148,283
96,320
96,322
96,3
96,323
96,6
96,7
96,8
96,9
96,13
96,18
96,281
96,283
96,284
96,285
96,286
96,317
96,319
117,288
117,318
117,5
117,279
117,10
117,317
117,286
117,287
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
178,26
178,19
178,38
65,70
65,78
65,79
65,272
65,20
65,21
65,22
65,23
65,24
65,25
65,26
65,27
65,85
65,30
65,103
65,40
65,41
65,42
65,43
65,44
65,45
65,46
65,105
65,48
65,298
65,51
65,58
65,255
4,20
4,35
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
4,68
4,69
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,103
4,104
4,105
4,106
4,107
14,42
14,21
14,87
71,89
71,44
71,22
24,256
24,24
24,105
24,106
24,107
205,34
205,104
205,73
205,77
205,45
205,78
205,49
205,81
205,53
205,25
205,90
205,62
81,256
81,268
81,272
81,27
81,28
81,29
81,30
81,31
81,32
81,33
81,34
81,35
81,36
81,37
81,38
81,290
81,291
81,292
81,293
81,295
81,298
81,46
81,57
81,58
81,59
81,60
81,61
81,62
81,63
81,64
81,65
81,66
81,67
81,68
81,96
81,106
81,255
162,89
162,102
162,107
162,76
162,47
162,83
162,84
162,85
162,86
162,87
162,56
162,57
162,90
162,88
162,28
39,71
39,91
39,47
39,48
39,49
39,50
39,80
39,52
39,59
39,31
97,32
97,72
97,51
97,52
97,53
97,54
97,55
97,56
97,60
97,94
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,76
32,265
32,266
32,267
32,268
32,269
32,270
32,271
32,272
32,33
32,97
32,61
17,64
17,256
17,99
17,36
17,75
17,79
17,80
17,81
17,82
17,83
17,55
17,255
54,266
54,267
54,268
54,269
54,270
54,271
54,289
54,290
54,291
54,292
54,37
54,293
54,294
54,295
54,296
54,297
54,298
54,65
54,69
54,91
54,92
54,93
54,94
54,95
54,96
54,97
54,98
54,99
54,100
54,101
54,102
54,103
54,104
15,88
15,43
15,39
171,40
171,84
240,66
240,291
240,98
240,293
240,294
240,296
240,270
134,67
134,100
134,292
134,295
134,296
134,297
134,271
30,68
30,101
224,289
224,266
224,92
51,267
51,95
7,112
7,113
7,108
7,109
7,110
7,111
176,112
176,108
176,109
245,109
245,110
245,111
125,112
125,113
125,111
8,114
8,115
8,116
8,117
8,118
8,119
8,120
8,121
8,122
63,299
63,114
63,115
63,117
175,299
175,115
175,116
175,117
207,122
207,118
207,119
23,120
23,118
146,120
146,121
146,122
10,128
10,129
10,130
10,131
10,132
10,133
10,134
10,135
10,136
10,137
10,138
10,139
10,140
10,141
10,142
10,143
10,144
10,145
10,146
10,147
10,148
10,149
10,150
10,151
10,123
10,124
10,125
10,126
10,127
119,123
119,327
182,129
182,132
182,124
182,125
182,126
61,128
61,125
61,134
61,151
223,128
223,130
223,135
223,126
223,127
67,129
67,130
67,131
220,131
220,132
220,133
220,134
220,135
121,136
121,137
121,138
121,139
121,140
121,141
121,142
121,143
236,136
236,144
19,257
19,258
19,195
19,259
19,260
19,261
19,262
19,137
19,201
19,208
19,145
19,159
19,168
19,173
19,174
19,175
19,176
19,177
19,178
19,186
84,138
84,146
247,139
247,147
43,148
43,140
122,144
122,145
122,146
122,147
122,148
122,149
122,150
122,141
210,149
210,142
12,152
55,152
13,153
13,154
13,155
