cirID,s_topic,s_temporal,s_author
0,0.045530101881100224,0.4679579455839282,
1,0.017344614499709612,0.44700591579376625,
2,0.01951269131217331,0.3352544368453247,
3,0.01951269131217331,0.3352544368453247,
4,0.01951269131217331,0.3352544368453247,
5,0.01951269131217331,0.3352544368453247,
6,0.052034332318491326,0.0,
7,0.04336186212884903,0.0,
8,0.052034332318491326,0.0,
9,0.04336186212884903,0.0,
10,0.026016921749564416,0.0,
11,0.026016921749564416,0.0,
12,0.1821204075244009,0.0,
13,0.13008591226612207,0.0,
14,0.1734481002745461,0.0,
15,0.11057313948405502,0.0,
16,0.13008607520590956,0.0,
17,0.13008607520590956,0.0,
18,0.10406866463698267,0.0,
19,0.11057313948405502,0.0,
20,0.13008591226612207,0.0,
21,0.10406866463698267,0.0,
22,0.06937910975798843,0.1734483357988555,
23,0.09106020376220045,0.13008625184914163,
24,0.05853856275588243,0.13008625184914163,
25,0.09106020376220045,0.26017250369828326,
26,0.1821208963437634,0.0,
27,0.10406899051655766,0.0,
28,0.08455597332480935,0.0,
29,0.08455597332480935,0.0,
30,0.07805174288741826,0.0,
31,0.09539668326670286,0.0,
32,0.12141393089584226,0.0,
33,0.07805174288741824,0.0,
34,0.07154726804034589,0.0,
35,0.07154726804034589,0.0,
36,0.07154726804034589,0.0,
37,0.12141393089584226,0.0,
38,0.07805174288741824,0.0,
39,0.07154726804034589,0.0,
40,0.0975646786092728,0.0,
41,0.07154726804034589,0.0,
42,0.07154726804034589,0.0,
43,0.07805174288741824,0.0,
44,0.08672405013727305,0.0,
45,0.07154726804034589,0.0,
46,0.07154726804034589,0.0,
47,0.07805174288741826,0.0,
48,0.09539668326670286,0.0,
49,0.07805174288741826,0.0,
50,0.07805174288741824,0.0,
51,0.06504303760295478,0.0,
52,0.0975646786092728,0.0,
53,0.06504303760295478,0.0,
54,0.09106020376220045,0.0,
55,0.05853856275588243,0.0,
56,0.06937910975798843,0.0,
57,0.11274129776641248,0.0,
58,0.07154726804034589,0.0,
59,0.06504303760295478,0.0,
60,0.08455597332480935,0.0,
61,0.08455597332480935,0.0,
62,0.06504303760295478,0.0,
63,0.05853856275588243,0.0,
64,0.06937910975798843,0.0,
65,0.05853856275588243,0.0,
66,0.06937910975798843,0.0,
67,0.05853856275588243,0.0,
68,0.09106020376220045,0.0,
69,0.09106020376220045,0.0,
70,0.05853856275588243,0.0,
71,0.06937910975798843,0.0,
72,0.09106069258156295,0.0,
73,0.08672437601684806,0.0,
74,0.05203457672817258,0.0,
75,0.045530346290781475,0.0,
76,0.06504328201263604,0.0,
77,0.06504328201263604,0.0,
78,0.03902587144370912,0.0,
79,0.045530346290781475,0.0,
80,0.04336218800842403,0.0,
81,0.03902587144370912,0.0,
82,0.07154751245002713,0.0,
83,0.03902587144370912,0.0,
84,0.03252139659663677,0.0,
85,0.034689554878994215,0.0,
86,0.06937943563756344,0.0,
87,0.03902587144370912,0.0,
88,0.03252139659663677,0.0,
89,0.06504303760295478,0.0,
90,0.03252139659663677,0.0,
91,0.03252139659663677,0.0,
92,0.06937943563756344,0.0,
93,0.03902587144370912,0.0,
94,0.03252139659663677,0.0,
95,0.058538807165563686,0.0,
96,0.06504303760295478,0.0,
97,0.03252139659663677,0.0,
