cirID,msgID
0,81
0,387
0,255
0,325
0,118
0,38
0,408
0,239
1,408
1,325
1,38
1,239
2,325
2,38
2,408
2,13
2,239
3,325
3,38
3,408
3,14
3,239
4,325
4,38
4,408
4,89
4,239
5,325
5,38
5,408
5,286
5,239
6,329
6,265
6,354
6,7
7,354
7,294
7,7
7,265
7,124
8,354
8,124
8,294
8,7
9,354
9,294
9,7
9,329
9,265
10,9
10,172
11,137
11,11
12,324
12,45
12,55
13,55
13,324
13,45
13,71
14,356
14,324
14,166
14,391
14,362
14,45
14,55
14,254
15,356
15,324
15,55
15,71
15,45
16,356
16,324
16,166
16,391
16,362
16,45
16,342
16,55
16,254
17,99
17,356
17,324
17,166
17,391
17,362
17,45
17,55
17,254
18,356
18,229
18,324
18,55
18,45
19,356
19,324
19,55
19,45
19,366
20,324
20,45
20,366
20,55
21,324
21,55
21,71
21,45
21,366
22,55
22,45
22,71
23,356
23,166
23,71
23,391
23,362
23,45
23,55
23,254
24,55
24,45
24,366
24,71
25,55
25,71
26,161
26,356
26,55
26,166
26,391
26,362
26,254
27,161
27,356
27,324
27,55
27,45
28,161
28,356
28,324
28,55
28,71
28,45
29,161
29,356
29,324
29,55
29,45
29,366
30,161
30,356
30,55
30,71
30,45
31,161
31,356
31,55
31,71
32,161
32,356
32,166
32,391
32,362
32,342
32,55
32,254
33,161
33,356
33,324
33,342
33,55
33,45
34,161
34,356
34,55
34,342
34,71
35,161
35,356
35,229
35,342
35,55
36,161
36,356
36,342
36,55
36,366
37,161
37,99
37,356
37,166
37,391
37,362
37,55
37,254
38,161
38,99
38,356
38,324
38,55
38,45
39,161
39,99
39,356
39,55
39,71
40,161
40,99
40,356
40,166
40,391
40,362
40,342
40,55
40,254
41,161
41,99
41,356
41,229
41,55
42,161
42,99
42,356
42,55
42,366
43,161
43,356
43,229
43,324
43,55
43,45
44,161
44,356
44,229
44,55
45,161
45,356
45,229
45,55
45,71
46,161
46,356
46,229
46,55
46,366
47,161
47,356
47,55
47,45
47,366
48,161
48,356
48,366
48,55
49,161
49,356
49,55
49,71
49,366
50,45
50,324
50,229
50,55
51,324
51,229
51,55
51,71
51,45
52,356
52,324
52,229
52,166
52,391
52,362
52,45
52,55
52,254
53,324
53,229
53,55
53,45
53,366
54,229
54,55
55,55
55,45
55,229
55,71
56,55
56,229
56,71
57,356
57,229
57,166
57,391
57,55
57,362
57,254
58,356
58,229
58,324
58,55
58,45
59,55
59,356
59,229
59,71
60,356
60,229
60,166
60,391
60,362
60,342
60,55
60,254
61,99
61,356
61,229
61,166
61,391
61,362
61,55
61,254
62,356
62,229
62,366
62,55
63,45
63,229
63,366
63,55
64,229
64,366
64,55
65,55
65,229
65,366
65,71
66,45
66,366
66,55
67,55
67,45
67,366
67,71
68,356
68,166
68,391
68,362
68,45
68,366
68,55
68,254
69,366
69,55
70,55
70,45
70,366
70,71
71,55
71,366
71,71
72,55
72,166
72,391
72,152
72,362
72,254
73,161
73,356
73,166
73,391
73,362
73,55
73,152
73,254
74,161
74,356
74,324
74,55
74,152
74,45
75,161
75,356
75,55
75,71
75,152
76,161
76,356
76,166
76,391
76,362
76,342
76,55
76,152
76,254
77,161
77,99
77,356
77,166
77,391
77,362
77,55
77,152
77,254
78,161
78,356
78,229
78,55
78,152
79,161
79,356
79,55
79,152
79,366
80,152
80,324
80,45
80,55
81,324
81,55
81,71
81,152
81,45
82,356
82,324
82,166
82,391
82,362
82,45
82,55
82,152
82,254
83,324
83,55
83,152
83,45
83,366
84,152
84,55
84,45
84,71
85,152
85,55
85,71
86,391
86,55
86,342
86,166
86,152
86,362
86,254
87,324
87,342
87,55
87,152
87,45
88,152
88,55
88,342
88,71
89,356
89,166
89,391
89,362
89,342
89,55
89,152
89,254
90,152
90,229
90,342
90,55
91,152
91,366
91,342
91,55
92,99
92,55
92,166
92,391
92,152
92,362
92,254
93,99
93,324
93,55
93,152
93,45
94,152
94,99
94,55
94,71
95,99
95,166
95,391
95,362
95,342
95,55
95,152
95,254
96,99
96,356
96,166
96,391
96,362
96,55
96,152
96,254
97,152
97,99
97,229
97,55
98,152
98,99
98,366
98,55
99,324
99,229
99,55
99,152
99,45
100,152
100,229
100,55
101,152
101,55
101,229
101,71
102,356
102,229
102,166
102,391
102,362
102,55
102,152
102,254
103,152
103,229
103,366
103,55
104,152
104,45
104,366
104,55
105,152
105,366
105,55
106,152
106,55
106,366
106,71
107,254
107,55
107,166
107,391
107,170
107,362
108,254
108,55
108,166
108,391
108,152
108,170
108,362
109,161
109,356
109,166
109,391
109,170
109,362
109,55
109,152
109,254
110,324
110,55
110,152
110,170
110,45
111,152
111,170
111,55
111,71
112,166
112,391
112,170
112,362
112,342
112,55
112,152
112,254
113,99
113,166
113,391
113,170
113,362
113,55
113,152
113,254
114,152
114,170
114,229
114,55
115,152
115,170
115,366
115,55
116,161
116,356
116,166
116,391
116,170
116,362
116,55
116,254
117,161
117,356
117,324
117,55
117,170
117,45
118,161
118,356
118,55
118,71
118,170
119,161
119,356
119,166
119,391
119,170
119,362
119,342
119,55
119,254
120,161
120,99
120,356
120,166
120,391
120,170
120,362
120,55
120,254
121,161
121,356
121,229
121,55
121,170
122,161
122,356
122,55
122,170
122,366
123,170
123,324
123,45
123,55
124,324
124,55
124,71
124,170
124,45
125,356
125,324
125,166
125,391
125,170
125,362
125,45
125,55
125,254
126,324
126,55
126,170
126,45
126,366
127,170
127,55
127,45
127,71
128,170
128,55
128,71
129,391
129,254
129,55
129,342
129,166
129,170
129,362
130,324
130,342
130,55
130,170
130,45
131,170
131,55
131,342
131,71
132,356
132,166
132,391
132,170
132,362
132,342
132,55
132,254
133,170
133,229
133,342
133,55
134,170
134,366
134,342
134,55
135,99
135,254
135,55
135,166
135,391
135,170
135,362
136,99
136,324
136,55
136,170
136,45
137,170
137,99
137,55
137,71
138,99
138,166
138,391
138,170
138,362
138,342
138,55
138,254
139,99
139,356
139,166
139,391
139,170
139,362
139,55
139,254
140,170
140,99
140,229
140,55
141,170
141,99
141,366
141,55
142,324
142,229
142,55
142,170
142,45
143,170
143,229
143,55
144,170
144,55
144,229
144,71
145,356
145,229
145,166
145,391
145,170
145,362
145,55
145,254
146,170
146,229
146,366
146,55
147,170
147,45
147,366
147,55
148,170
148,366
148,55
149,170
149,55
149,366
149,71
150,391
150,55
150,342
150,166
150,362
150,254
151,324
151,45
151,342
151,55
152,324
152,55
152,342
152,71
152,45
153,356
153,324
153,166
153,391
153,362
153,45
153,342
153,55
153,254
154,324
154,342
154,55
154,45
154,366
155,55
155,45
155,342
155,71
156,55
156,342
156,71
157,391
157,356
157,55
157,342
157,166
157,362
157,254
158,356
158,324
158,342
158,55
158,45
159,356
159,55
159,342
159,71
160,99
160,356
