msgID,autID,disID,theID,ts,inCir
138,87,99,4,2018-01-07 02:48:29,True
139,99,55,4,2016-12-14 09:55:13,True
140,25,26,4,2016-08-17 15:26:54,True
141,49,100,4,2018-05-22 08:52:11,True
142,100,101,4,2018-06-11 18:21:53,True
143,15,15,4,2016-08-11 08:16:42,True
144,80,29,4,2016-11-24 14:20:29,True
145,101,102,4,2017-10-16 20:40:06,True
146,102,103,4,2018-09-08 14:05:55,True
147,12,104,4,2016-06-26 05:00:49,True
148,43,21,4,2016-12-08 09:36:55,True
149,103,105,4,2018-07-12 10:15:22,True
150,104,33,4,2016-12-04 11:15:49,True
151,105,106,4,2016-07-24 13:24:36,True
152,106,41,4,2016-06-19 00:12:29,True
153,81,107,4,2016-04-24 07:17:53,True
154,107,35,4,2016-12-18 19:27:57,True
155,108,108,4,2018-10-31 09:51:05,True
156,109,109,4,2017-06-12 21:35:20,True
157,69,69,4,2016-12-18 10:44:10,True
158,81,28,4,2016-04-25 08:53:53,True
159,45,110,4,2017-12-04 07:58:38,True
160,110,111,4,2016-10-10 02:31:00,True
161,111,41,4,2016-06-17 16:24:40,True
162,112,112,4,2017-07-21 03:21:16,True
163,113,113,4,2017-11-20 19:09:58,True
164,114,114,4,2017-10-07 07:26:15,True
165,108,17,4,2018-10-31 10:04:05,True
166,12,41,4,2016-06-15 02:23:56,True
167,115,115,4,2016-05-24 12:22:46,True
168,116,116,4,2017-10-09 08:17:52,True
169,117,49,4,2017-12-04 08:36:43,True
170,118,41,4,2016-06-21 00:20:35,True
171,104,10,4,2016-12-04 15:26:31,True
172,119,9,4,2016-07-23 21:53:46,True
173,120,79,4,2017-01-02 19:11:00,True
174,14,117,4,2016-11-01 03:48:41,True
175,27,28,4,2017-05-07 13:04:12,True
176,119,118,4,2016-07-23 22:01:13,True
177,121,119,4,2017-07-21 04:31:52,True
178,122,120,4,2017-07-21 04:27:52,True
179,104,121,4,2016-12-04 11:22:44,True
180,95,93,4,2017-12-04 08:16:11,True
181,81,122,4,2017-07-21 03:18:30,True
182,2,123,4,2017-07-21 05:57:02,True
183,123,28,4,2016-04-26 15:54:56,True
184,66,52,4,2016-09-12 06:53:37,True
185,124,21,4,2016-12-09 03:19:04,True
186,50,82,4,2016-12-08 15:31:56,True
187,95,124,4,2017-12-04 07:40:45,True
188,125,125,4,2017-04-12 23:08:58,True
189,126,14,4,2016-07-30 00:48:04,True
190,10,10,4,2016-12-14 00:38:32,True
191,38,126,4,2016-11-10 14:29:53,True
192,12,127,4,2016-06-15 02:38:13,True
193,108,17,4,2018-10-31 10:00:34,True
194,127,128,4,2018-10-07 12:49:18,True
195,128,129,4,2017-07-21 03:26:46,True
196,31,130,4,2017-07-21 06:51:01,True
197,129,95,4,2018-11-09 09:43:03,True
198,108,131,4,2018-10-31 09:42:04,True
199,12,41,4,2016-06-26 05:13:16,True
200,130,132,4,2016-03-26 10:28:55,True
201,131,2,4,2016-11-04 09:42:50,True
202,12,133,4,2016-06-15 02:32:31,True
203,81,134,4,2016-05-12 19:44:56,True
204,132,95,4,2018-02-27 13:13:36,True
205,101,135,4,2017-09-13 17:49:48,True
206,36,36,4,2016-12-08 22:24:48,True
207,88,136,4,2017-12-04 08:15:26,True
208,73,137,4,2016-10-02 16:17:13,True
209,29,35,4,2016-12-01 17:30:54,True
210,133,138,4,2017-07-21 06:31:03,True
211,134,139,4,2017-12-09 15:40:25,True
212,74,66,4,2017-01-31 10:46:54,True
213,135,140,4,2016-02-25 16:46:01,True
214,4,141,4,2016-12-16 05:17:15,True
215,130,132,4,2016-03-26 15:24:48,True
216,34,132,4,2016-04-04 21:55:52,True
217,136,142,4,2018-10-31 08:53:36,True
218,117,143,4,2017-12-04 07:45:48,True
219,66,144,4,2017-07-21 05:02:05,True
220,21,22,4,2016-12-13 07:06:17,True
221,137,145,4,2018-10-31 11:06:30,True
222,138,146,4,2017-07-21 05:57:02,True
223,139,28,4,2017-07-15 03:17:38,True
224,105,18,4,2016-04-26 22:00:10,True
225,2,147,4,2017-07-21 06:14:27,True
226,119,148,4,2016-08-21 02:48:47,True
227,140,149,4,2017-08-09 07:11:13,True
228,141,150,4,2016-07-06 01:49:21,True
229,142,41,4,2016-06-14 10:02:59,True
230,143,151,4,2017-07-21 05:09:48,True
231,124,152,4,2016-12-09 02:58:17,True
232,0,153,4,2017-12-04 08:05:25,True
233,144,35,4,2016-12-01 03:18:30,True
234,86,154,4,2017-07-21 03:17:21,True
235,145,155,4,2017-07-21 03:02:42,True
236,119,106,4,2016-07-24 16:04:00,True
237,9,156,4,2016-08-13 17:59:20,True
238,146,157,4,2017-07-21 04:05:22,True
239,80,158,4,2017-07-21 06:28:21,True
240,147,116,4,2017-10-25 08:19:36,True
241,31,33,4,2016-12-04 03:21:28,True
242,148,159,4,2017-07-21 03:33:35,True
243,149,126,4,2016-11-10 17:10:38,True
244,150,17,4,2018-09-19 00:01:14,True
245,151,100,4,2018-01-24 05:27:49,True
246,2,160,4,2016-11-29 07:03:31,True
247,100,161,4,2018-06-07 15:20:43,True
248,31,162,4,2017-07-21 06:27:02,True
249,152,163,4,2016-07-12 13:37:19,True
250,153,66,4,2017-02-06 00:03:28,True
251,81,18,4,2016-04-22 22:10:51,True
252,19,76,4,2016-07-14 19:03:14,True
253,53,164,4,2017-07-21 06:26:50,True
254,12,41,4,2016-06-15 01:43:15,True
255,64,165,4,2017-07-21 06:23:41,True
256,154,166,4,2016-06-27 15:29:52,True
257,155,28,4,2016-04-26 13:53:23,True
258,156,76,4,2016-07-20 14:01:29,True
259,157,2,4,2016-11-07 14:08:55,True
260,124,82,4,2016-12-09 03:09:43,True
261,115,115,4,2016-06-20 13:00:22,True
262,15,167,4,2017-07-21 05:23:14,True
263,158,91,4,2016-10-07 18:41:20,True
264,159,168,4,2018-07-22 12:28:03,True
265,62,90,4,2016-03-02 15:27:51,True
266,160,169,4,2018-03-11 18:11:09,True
267,2,117,4,2016-11-01 09:43:45,True
268,161,13,4,2016-11-24 10:05:14,True
269,162,15,4,2016-08-11 01:00:58,True
270,163,76,4,2016-07-18 13:33:43,True
271,81,18,4,2016-05-18 15:33:59,True
272,31,170,4,2017-01-18 08:54:45,True
273,164,171,4,2018-05-15 13:39:45,True
274,69,31,4,2016-12-25 15:36:53,True
275,124,55,4,2016-12-09 03:27:52,True
276,165,79,4,2017-01-02 15:35:44,True
