theID,tokens,strength
4,"['droit', 'droits', 'homme', 'peuple', 'pays', 'défense', 'constitution']",[4.6 2.5 1.9 1.8 1.3 1.3 1.2]
0,"['etat', 'visa', 'danger', 'règles', 'cause', 'processus', 'pouvoir']",[42.4  3.   2.1  1.7  1.1  0.9  0.9]
3,"['certificat', 'réussite', 'cours', 'session', 'reçu', 'étudiant', 'payé']",[26.9 18.  10.2  3.1  0.9  0.9  0.8]
2,"['_mathexp_', 'violations', 'rdc', 'quelle', 'droits', 'vision', 'ème']",[23.1  3.9  1.1  1.   1.   0.8  0.7]
1,"['obligation', 'respecter', 'mettre', 'protéger', 'assurer', 'santé', 'oeuvre']",[49.1  4.5  4.3  3.6  2.7  2.4  1.7]
