theID,tokens,strength
4,"['gold', 'portfolio', 'would', 'company', 'companies', 'risk', 'market']",[4.7 1.9 1.8 1.1 1.1 0.8 0.8]
0,"['_mathexp_', 'year', 'fcf', 'discount', 'value', 'end', 'million']",[41.8  6.8  1.5  1.3  0.7  0.7  0.6]
3,"['thanks', '_smiley_', 'kasper', 'lot', 'nicole', 'helpful', 'poloko']",[32.1  8.7  3.   2.8  2.5  2.3  1.3]
2,"['small', 'part', 'relatively', 'amount', 'portion', 'portfolio', 'invested']",[37.3 20.  13.9  1.8  1.8  1.6  1.4]
1,"['yes', 'necessary', 'sometimes', 'think', 'believe', 'worried', 'bad']",[76.8  0.9  0.8  0.6  0.5  0.5  0.5]
